Valid date,Valid time,Time zone,Record sequence,Data type,Primary,Reporting area,State code,Parameter name,AQI value,AQI category,Forecast,Source
06/07/23,,CDT,-1,Y,Y,Aberdeen,SD,PM2.5,43,Good,South Dakota Department of Agriculture and Natural Resources,
06/08/23,16:00,CDT,0,O,Y,Aberdeen,SD,PM10,31,Good,South Dakota Department of Agriculture and Natural Resources,
06/07/23,,PDT,-1,Y,Y,Aberdeen,WA,PM2.5,26,Good,Olympic Region Clean Air Agency,
06/08/23,14:00,PDT,0,O,Y,Aberdeen,WA,PM2.5,19,Good,Olympic Region Clean Air Agency,
06/08/23,,PDT,1,F,Y,Aberdeen,WA,PM2.5,17,Good,Olympic Region Clean Air Agency,
06/09/23,,PDT,2,F,Y,Aberdeen,WA,PM2.5,13,Good,Olympic Region Clean Air Agency,
06/10/23,,PDT,3,F,Y,Aberdeen,WA,PM2.5,17,Good,Olympic Region Clean Air Agency,
06/11/23,,PDT,4,F,Y,Aberdeen,WA,PM2.5,17,Good,Olympic Region Clean Air Agency,
06/12/23,,PDT,5,F,Y,Aberdeen,WA,PM2.5,17,Good,Olympic Region Clean Air Agency,
06/07/23,,GMT,-1,Y,Y,Abidjan,,PM2.5,40,Good,U.S. Department of State Ivory Coast - Abidjan,
06/08/23,21:00,GMT,0,O,Y,Abidjan,,PM2.5,18,Good,U.S. Department of State Ivory Coast - Abidjan,
06/08/23,,GST,-1,Y,Y,Abu Dhabi,,PM2.5,138,Unhealthy for Sensitive Groups,U.S. Department of State UAE - Abu Dhabi,
06/09/23,1:00,GST,0,O,Y,Abu Dhabi,,PM2.5,163,Unhealthy,U.S. Department of State UAE - Abu Dhabi,
06/07/23,,WAT,-1,Y,Y,Abuja,,PM2.5,24,Good,U.S. Department of State Nigeria - Abuja,
06/08/23,22:00,WAT,0,O,Y,Abuja,,PM2.5,25,Good,U.S. Department of State Nigeria - Abuja,
06/08/23,,EAT,-1,Y,Y,Addis Ababa Central,,PM2.5,102,Unhealthy for Sensitive Groups,U.S. Department of State Ethiopia - Addis Ababa,
